<<<<<<< HEAD
"Actions","افعال"
"Active","نشط"
"Add New Rule","إضافة قاعدة جديدة"
"Apply","تطبيق"
"Apply the rule only if the following conditions are met (leave blank for all products)","تطبيق القاعده الا اذا كانت الشروط التالية (اتركه فارغا لكافة المنتجات)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","تطبيق القاعده سوى الى عربة التسوق البنود المطابقه للشروط التالية (اتركه فارغا لجميع البنود)"
"Apply the rule to cart items matching the following conditions","تطبيق بنود المادة في سلة السلع المطابقه للشروط التالية"
"Apply to","تطبيق على"
"Buy X get Y free (discount amount is Y)","قم بشراء س تحصل على ص مجانا (كمية الخصم في ص)."
"By Fixed Amount","بكمية ثابتة"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مئوية"
"By Percentage of the original price","بنسبة مئوية من السعر الأصلي"
"Cart Attribute","سمة السلة"
"Catalog","دليل"
"Conditions","الشروط"
"Conditions combination","الجمع بين الشروط"
"Coupon Code","كود الكوبون"
"Coupon code","كود الكوبون"
"Customer Groups","مجموعات العميل"
"Customer is new buyer: %s","العميل هو مشتري جديد: %s"
"Customer registered: %s","تسجيل العميل: %s"
"Date Expire","تاريخ الانتهاء"
"Date Start","تاريخ البدء"
"Delete Rule","حذف قاعدة"
"Description","الوصف"
"Description: %s","الوصف: %s"
"Discount Qty Step (Buy X)","تخفيض Qty خطوة (Buy X)"
"Discount amount","كمية الخصم"
"Edit Rule","تحرير قاعدة"
"Edit Rule '%s'","تحرير قاعدة '%s'"
"Expire at: %s","ينتهي في: %s"
"Fixed amount discount","كمية خصم ثابتة"
"Fixed amount discount for whole cart","كمية خصم ثابتة لعربة التسوق كلها"
"For matching items only","للسلع المطابقة فقط"
"For shipment with matching items","للشحن مع السلع المطابقة"
"Free shipping","شحن مجاني"
"From Date","من التاريخ"
"General Information","بيانات عامة"
"ID","الرمز التعريفي"
"Inactive","غير نشط"
"Maximum Qty Discount is Applied to","الحد الاقصى Qty للتطبيق الخصم"
"NOT LOGGED IN","ليست مسجله الدخول"
"Name: %s","اسم: %s"
"New Rule","قاعدة جديدة"
"No","لا"
"Payment Method","طريقة الدفع"
"Percent of product price discount","النسبة المئوية للخصم من سعر المنتج"
"Price in cart","السعر في السلة"
"Priority","أولوية"
"Product attribute combination","سمة الجمع بين المنتجات"
"Products subselection","Products subselection"
"Promotions","الترقيات"
"Public In RSS Feed","في العام RSS تغذية"
"Quantity in cart","الكمية بعربة التسوق"
"Row total in cart","على التوالى فى اجمالى السلة"
"Rule Information","بيانات القاعدة"
"Rule Name","اسم القاعدة"
"Rule was successfully deleted","تم حذف القاعدة بنجاح"
"Rule was successfully saved","تم حفظ القاعدة بنجاح"
"Save Rule","حفظ القاعدة"
"Shipping Country","دولة الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Postcode","الشحن البريدي"
"Shipping Region","منطقة الشحن"
"Shipping State/Province","ولاية/مقاطعة الشحن"
"Shopping Cart Price Rule"," قاعدة سعر سلة التسوق  "
"Shopping Cart Price Rules","قواعد سعر سلة التسوق"
"Special price","سعر خاص"
"Start at: %s","يبداء في: %s"
"Status","الحالة"
"Stop further rules processing","وقف المزيد من القواعد وتجهيز"
"Subtotal","المجموع الاصلي"
"The page you are trying to save no longer exists","الصفحة التي تحاول حفظها لم تعد موجودة"
"This rule no longer exists","هذه القاعدة لم تعد موجودة"
"To Date","للتاريخ"
"To Fixed Amount","لاصلاح الكمية"
"To Fixed Value","لاصلاح القيمة"
"To Percentage","للنسبة المؤية"
"To Percentage of the original price","للنسبة المؤية للسعر الاصلي"
"Total Items Quantity","كمية السلع الإجمالية"
"Total Weight","الوزن الإجمالي"
"Unable to find a page to delete","غير قادر العثور على صفحة للحذف"
"Update prices using the following information","تحديث الأسعار باستخدام البيانات التالية"
"Update product's %s %s: %s","تحديث المنتجات %s %s: %s"
"Update the Product","تحديث المنتج"
"Uses per coupon","عدد مرات الاستخدام لكل كوبون"
"Uses per customer","عدد مرات الاستخدام لكل عميل"
"Yes","نعم"
=======
"Shopping Cart Price Rule"," قاعدة سعر سلة التسوق  "
"Expire at: %s","ينتهي في: %s"
"Start at: %s","يبداء في: %s"
"Public In RSS Feed","في العام RSS تغذية"
"Coupon code","كود الكوبون"
"Coupon Code","كود الكوبون"
"Discount amount","كمية الخصم"
"Total Items Quantity","كمية السلع الإجمالية"
"Fixed amount discount","كمية خصم ثابتة"
"Fixed amount discount for whole cart","كمية خصم ثابتة لعربة التسوق كلها"
"Invalid discount amount.","كمية خصم غير صحيحة."
"Stop further rules processing","وقف المزيد من القواعد وتجهيز"
"Shipping State/Province","ولاية/مقاطعة الشحن"
"Shopping Cart Price Rules","قواعد سعر سلة التسوق"
"Buy X get Y free (discount amount is Y)","قم بشراء س تحصل على ص مجانا (كمية الخصم في ص)."
"New Rule","قاعدة جديدة"
"NOT LOGGED IN","ليست مسجله الدخول"
"To Percentage","للنسبة المؤية"
"To Percentage of the original price","للنسبة المؤية للسعر الاصلي"
"To Date","للتاريخ"
"For matching items only","للسلع المطابقة فقط"
"For shipment with matching items","للشحن مع السلع المطابقة"
"No","لا"
"To Fixed Amount","لاصلاح الكمية"
"To Fixed Value","لاصلاح القيمة"
"Active","نشط"
"Yes","نعم"
"This rule no longer exists","هذه القاعدة لم تعد موجودة"
"From Date","من التاريخ"
"Shipping Region","منطقة الشحن"
"Customer Groups","مجموعات العميل"
"Priority","أولوية"
"Add New Rule","إضافة قاعدة جديدة"
"Actions","افعال"
"Quantity in cart","الكمية بعربة التسوق"
"Total Weight","الوزن الإجمالي"
"Description","الوصف"
"Description: %s","الوصف: %s"
"Percent of product price discount","النسبة المئوية للخصم من سعر المنتج"
"Subtotal","المجموع الاصلي"
"Checkout Price Rule","التاكيد من قانون السعر"
"Promotions","الترقيات"
"Conditions combination","الجمع بين الشروط"
"Conditions Combination","الجمع بين الشروط"
"Status","الحالة"
"Maximum Qty Discount is Applied to","الحد الاقصى Qty للتطبيق الخصم"
"ID","الرمز التعريفي"
"Price in cart","السعر في السلة"
"Shipping Postcode","الشحن البريدي"
"Conditions","الشروط"
"Customer is new buyer: %s","العميل هو مشتري جديد: %s"
"The page you are trying to save no longer exists","الصفحة التي تحاول حفظها لم تعد موجودة"
"Rule Name","اسم القاعدة"
"Name: %s","اسم: %s"
"Rule Information","بيانات القاعدة"
"General Information","بيانات عامة"
"By Fixed Amount","بكمية ثابتة"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مئوية"
"By Percentage of the original price","بنسبة مئوية من السعر الأصلي"
"Rule was successfully saved","تم حفظ القاعدة بنجاح"
"Rule was successfully deleted","تم حذف القاعدة بنجاح"
"Date Expire","تاريخ الانتهاء"
"Date Start","تاريخ البدء"
